"Nom","Adresse 1","Adresse 2","Code postal","Ville","Téléphone 1","Téléphone 2","Fax","NAF","SIRET","Effectif","Email","Responsable","Activité","Activité","Activité","Activité","Activité"
"DC CONSULTING","","23 RUE ISLETTE","44220","COUERON","0632296618","","","6492Z","88517576000010","Inconnu","dc.consulting@outlook.fr","DAVID CHRISTOPHE","CHASSEURS IMMOBILIERS","GESTION DE PATRIMOINE","COURTIERS D'ASSURANCES","CREDIT IMMOBILIER","EXPERTS EN ASSURANCES"
"ACF","","15 BOULEVARD MAR FOCH","06600","ANTIBES","0492901818","","","6622Z","85325546100016","Inconnu","","MOISSET GEOFFREY","ACTUAIRES","GESTION DE PATRIMOINE","COURTIERS D'ASSURANCES","EXPERTS EN ASSURANCES","MUTUELLES D'ASSURANCES"
"AXA ASSURANCE SANQUER LE GUEN MAGUEUR","LES BALISES DU PORT","415 RUE JURIEN DE LA GRAVIERE","29200","BREST","0298803939","","0298440979","6622Z","79878795800023","0","","SANQUER JEAN","ACTUAIRES","AGENTS GENERAUX D'ASSURANCES","BANQUES","GESTION DE PATRIMOINE","COURTIERS D'ASSURANCES"
"THELEM ASSURANCES ERWAN GOUAILLIER AGENT GEN","","4 RUE ST LOUIS","35690","ACIGNE","0299043206","0652774848","","6622Z","79295366300020","1 à 2","acigne@thelem-assurances.fr","GOUAILLIER ERWAN","ACTUAIRES","AGENTS GENERAUX D'ASSURANCES","COURTIERS D'ASSURANCES","EXPERTS EN ASSURANCES","MUTUELLES D'ASSURANCES"
"AVENIR EPARGNE","","1 A BOULEVARD CHANTOURNE","38700","LA TRONCHE","0476851201","","0476850831","7022Z","43827840000025","3 à 5","","GONCALVES PAULO","ACTUAIRES","GESTION DE PATRIMOINE","COURTIERS D'ASSURANCES","COURTIERS FINANCIERS",""
"CABINET A DE CHEVIGNE","","5 RUE MARCHIX","44000","NANTES","0240478671","","","6622Z","43516442100024","3 à 5","","DE CHEVIGNE ARNAUD","ACTUAIRES","AGENTS GENERAUX D'ASSURANCES","COURTIERS D'ASSURANCES","MUTUELLES D'ASSURANCES","SOCIETES D'ASSURANCES"
"COLLECTEAM","","13 RUE CROQUECHATAIGNE","45380","LA CHAPELLE ST MESMIN","0242070444","","","6622Z","42209281700028","200 à 249","","VERSPIEREN PIERRE-ANTHONY","ACTUAIRES","COURTIERS D'ASSURANCES","MUTUELLES D'ASSURANCES","MUTUELLES","MUTUELLES D'ENTREPRISES"
"WILLIS TOWERS WATSON GLOBAL AEROSPACE PARIS","","33 QUAI DE DION BOUTON","92800","PUTEAUX","0141435000","","0141435555","7022Z","33205144000102","100 à 199","","DE  MONTGOLFIER CYRILLE","ACTUAIRES","AGENTS GENERAUX D'ASSURANCES","CONSEILS EN ORGANISATION, GESTION MANAGEMENT","COURTIERS D'ASSURANCES",""
"CT2 CONSEIL","","2 COURS 30 JUILLET","33000","BORDEAUX","0670008892","","","6622Z","49373307500037","0","","TOMBACCO THOMAS","ADMINISTRATEURS DE BIENS","GESTION DE PATRIMOINE","IMMOBILIER D'ENTREPRISE","CONSEILS, ETUDES FINANCIERES","COURTIERS D'ASSURANCES"
"GESTION ET TRANSACT DE FRANCE","","23 RUE CHAUCHAT","75009","PARIS","0148008980","","0142462784","6622Z","48234483500020","6 à 9","","FRANCE COURTAGE GESTION","ADMINISTRATEURS DE BIENS","COURTIERS D'ASSURANCES","","",""
