"Nom","Adresse 1","Adresse 2","Code postal","Ville","Téléphone 1","Téléphone 2","Fax","NAF","SIRET","Effectif","Email","Responsable","Activité"
"ATAP","","19 RUE CHATEAU D'EAU","67590","SCHWEIGHOUSE SUR MODER","0388949182","","","3312Z","48214428400015","Inconnu","","JOTZ ERIC","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"ETABLISSEMENTS CHAIN","","55 CHAMP PRIEUR","45400","SEMOY","0238551254","","0238551630","3314Z","8718028700028","10 à 19","chainbobinage@orange.fr","CHAIN CHRISTOPHE","REPARATION D'EQUIPEMENTS ELECTRIQUES"
"DRS MANUTENTION","","33 RUE FRANCOIS ARAGO","01000","BOURG EN BRESSE","0474259104","0660459032","","3312Z","53889780200020","1 à 2","","SIMONET ROMAIN","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"SOPR SAS","ZA DES","2 Bis CHEMIN DERONTET","01360","BELIGNEUX","0675933164","","","3312Z","39028972600031","3 à 5","","SOYER WILFRID","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"ARDEN HYDRO SERVICES","ZI DE PARGNY","2 RUE BITBURG","08300","RETHEL","0324726391","0675253060","","3312Z","43446297400016","0","","SURPLY ARNAUD","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"SLIMA","","ZA","10280","FONTAINE LES GRES","0325766595","","0325765844","3312Z","34068947000029","10 à 19","danielsainton@slima.fr","GUERRA ALTUNA JOSE-ANTONIO","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"HYDRAULIQUE MECANIQUE SERVICES JP MAZENQ","","444 RUE ST CHRISTOPHE","12000","RODEZ","0565704387","","","3312Z","52269308400025","3 à 5","","MAZENQ JEAN-PAUL","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"HYDRO VERIN SERVICE","ZI LES BAGNOLS","6 RUE GLACIERE","13127","VITROLLES","0442415249","","0442750879","3312Z","38100314400031","10 à 19","","LANGA CHRISTIAN","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"REGNIER PUCHALA","ESPACE CELESTIN COQ","5135 ROUTE AVIGNON","13090","AIX EN PROVENCE","0442235938","","0442963541","3312Z","30913404700021","6 à 9","","REGNIER LAURENT","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"SOCIETE VERYCHROME","","263 AVENUE FLEURIDE","13400","AUBAGNE","0442844422","","0442844945","3312Z","34851165000015","3 à 5","verychrome@verychrome.com","","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"HYDRAU CAEN","","11 RUE ANDRE AMPERE","14120","MONDEVILLE","0231830852","","0231830854","3312Z","44217799400021","6 à 9","","CARON LEON","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"ACMI ATELIER CHARENTAIS MECANIQUE IND","","9 ROUTE DIZEDON","16100","CHATEAUBERNARD","0545821896","","","3312Z","38877748400030","Inconnu","","LEMAITRE ALEXANDRE","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"GT HYDRO","ZI DES RENTES","271 RUE BOIS MERRAINS","16100","MERPINS","0545362236","","","3312Z","82268575600022","Inconnu","","GRATRAUD THIERRY","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"HYDRO APPLICATIONS LA ROCHELLE","","2 RUE EUGENE FREYSSINET","17140","LAGORD","0546673444","","","3312Z","30341412200034","10 à 19","hydroapp@hydro.fr","","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"METIS LEVAGE","","5 CHEMIN VARENNES","18570","LA CHAPELLE ST URSIN","0248591358","","","3312Z","30328390700069","Inconnu","","BEAUCHAMP PASCAL","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"CORSE HYDRO SERVICES","","8 AVENUE VALROSE","20290","BORGO","0495306702","","","3312Z","85284288900028","Inconnu","","RISSO STEPHANE","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"SBE","","3 ROUTE 5","21110","LONGEAULT","0380472929","","0380472878","3312Z","31796293400020","20 à 49","contact@sbe-maintenance.fr","CHARLUT DAVID","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"EIF","AU SORBIER 2 A","RUE PYTHAGORE","25410","DANNEMARIE SUR CRETE","0381584091","0608268281","","3312Z","35183987300020","3 à 5","eif.25@orange.fr","FOURNIER HUBERT","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"HYDRAU EURE","","3 RUE POMMIERS","27930","FAUVILLE","0232310189","","0232311024","3312Z","44054611700019","3 à 5","","CARON LEON","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"HYDRAU MECA REPARATION","LOCAUX STE ATEMIC","CHEMIN SABLONNIERE","27600","FONTAINE BELLENGER","0232772935","","","3312Z","51074199400014","3 à 5","","PERRIN OLIVIER","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"HYDRO D","","8 RUE GARENNE","27950","ST MARCEL","0232643210","","0232643219","3312Z","38273250100012","10 à 19","hydrod@hydro-d.fr","FERRARIN LOUIS","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"C M D G","","LIEU DIT KERUSCUN","29390","LEUHAN","0298664132","","","3312Z","49379161000022","1 à 2","","MARZIN CATHERINE","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"BALLON","","RUE GALILEE","33185","LE HAILLAN","0557929370","","0557929379","3312Z","34502726200020","6 à 9","","DAMERON ARNAUD","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"HYDRAULIC'PRES'SERVICES","","7 CHEMIN GUILLEME","33430","BAZAS","0556255283","","0556255270","3312Z","44131724500039","6 à 9","","","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"TESSIER GWENAELLE","","BOUT DE LANDE","35150","JANZE","0299472805","","","3312Z","48057075300032","1 à 2","","TESSIER JEAN-MARC","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"TPA INDUSTRIE","","22 RUE FONTAINE","35340","LIFFRE","0223372165","","","3312Z","80472855800037","Inconnu","","LERAY FRANCK","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"HYDRO 36","","15 ZA VILLEDIEU NIHERNE","36320","VILLEDIEU SUR INDRE","0254390073","","0254390259","3312Z","40795094800023","3 à 5","","BORGET JEAN-MARIE","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"MECANYDRO 38","","RUE GRAND CHAMP","38140","APPRIEU","0476937038","","0476937196","3312Z","44082974500015","1 à 2","","MANGEOLLE REMI","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"SERVIMECA HYDRAULIQUE","ZAC CHAMP FLEURI","56 RUE PRE TILLON","38300","BOURGOIN JALLIEU","0474924720","","0474924640","3312Z","45086648800031","6 à 9","","YVRARD LAURENCE","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"PLANETA FRANCE","","ZI PAN LOUP","44220","COUERON","0951258761","","","3312Z","53016095100022","6 à 9","info@planeta-france.com","KLAWITTER MATTHIAS","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"CAP VERINS","","11 AVENUE PIERRELETS","45380","CHAINGY","0238725300","","0238725216","3312Z","41372198600029","3 à 5","","PASSAVANT ALAIN","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"POUGET SERVICES EIRL","","12 RUE HAIRE","45380","CHAINGY","0633718397","","","3312Z","53215571000017","Inconnu","","POUGET THIERRY","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"SARL NURIT 3M 48","","AVENUE PEYRE","48130","AUMONT AUBRAC","0466470721","0688670996","0466470722","3312Z","53532858700014","1 à 2","","BERTHOMIEU BERNARD","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"HYDRAU MEL","ZA DES CLAVERIES","13 RUE HELENE BOUCHER","49124","ST BARTHELEMY D'ANJOU","0241252406","","","3312Z","48927580000022","10 à 19","","CONAN GWENDAL","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"R HYDRAU LAVAL SARL","ZI DES TOUCHES","25 BOULEVARD LEON BOLLEE","53000","LAVAL","0243670538","","0243670556","3312Z","53520257600018","3 à 5","","COUPE JEROME","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"SOGEREP","","519 CHEMIN HAMAIDES","59230","ST AMAND LES EAUX","0327486600","","","3312Z","30604246600046","20 à 49","sogerep@sogerep.fr","RATAJCZAK FREDERIC","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
