"Siren";"Siret";"Raison sociale";"Nature établissement";"Adresse normée ligne 1";"Adresse normée ligne 2";"Adresse normée ligne 3";"Adresse normée ligne 4";"Adresse normée ligne 5";"Adresse normée ligne 6";"Code commune";"Ville";"Code postal";"Département";"Code département";"Région";"Code région";"Forme juridique";"Libellé activité";"Code activité";"Métier";"Date de création";"Civilité dirigeant principal";"Nom dirigeant principal";"Prénom dirigeant principal";"Fonction dirigeant principal";"Tranche Effectif INSEE";"Tranche Effectif établissement";"Mot-clé 1";"Mot-clé 2";"Mot-clé 3";"Mot-clé 4";"Mot-clé 5";"Mot-clé 6";"Mot-clé 7";"Mot-clé 8";"Mot-clé 9";"Mot-clé 10";"Capital social";"Entreprise exportatrice";"CA réalisé à l'export";"Part du CA réalisé à l'export";"Téléphone";"Fax";"Nom de marque 1";"Classes de marque 1";"Nom de marque 2";"Classes de marque 2";"Nom de marque 3";"Classes de marque 3";"Nom de marque 4";"Classes de marque 4";"Nom de marque 5";"Classes de marque 5";"E-Commerce";"Site Web";"Facebook";"Twitter";"LinkedIn";"Email";"Score";"Type de procédure";"Date d'entrée en procédure";"Chiffre d'affaires"
"303626931";"30362693100024";"MONDIAL EVASION";"siège";"MONDIAL EVASION";"MONDIAL EVASION";"";"19 RUE SAINT JEAN";"";"42000 SAINT-ETIENNE";"42218";"SAINT-ETIENNE";"42000";"LOIRE";"42";"AUVERGNE RHONE ALPES";"84";"Société par actions simplifiée (SAS)";"Activités des agences de voyage";"7911Z";"Agence de voyage";"01/1974";"M.";"JAMET";"Eric Jean Marie";"Président";"6 à 9";"6 à 9";"acheteur";"ambassade";"annulation";"autocar";"billets";"brochure";"brochures";"circuits";"flamenco";"golf";"480000";"NON";"";"";"0477337733";"";"MONDIAL EVASION";"[00, 35, 36, 39, 41]";"";"";"";"";"";"";"";"";"";"http://www.mondial-evasion.fr/";"";"";"";"stetienne@mondial-evasion.fr";"19";"";"";"2016229"
"303626931";"30362693100040";"MONDIAL EVASION";"établissement";"MONDIAL EVASION";"MONDIAL EVASION";"";"4 RUE VICTOR HUGO";"";"42400 SAINT-CHAMOND";"42207";"SAINT-CHAMOND";"42400";"LOIRE";"42";"AUVERGNE RHONE ALPES";"84";"Société par actions simplifiée (SAS)";"Activités des agences de voyage";"7911Z";"Agence de voyage";"01/1974";"M.";"JAMET";"Eric Jean Marie";"Président";"6 à 9";"1 ou 2";"acheteur";"ambassade";"annulation";"autocar";"billets";"brochure";"brochures";"circuits";"flamenco";"golf";"480000";"NON";"";"";"0477222133";"";"MONDIAL EVASION";"[00, 35, 36, 39, 41]";"";"";"";"";"";"";"";"";"";"http://www.mondial-evasion.fr/";"";"";"";"";"19";"";"";"2016229"
"303626931";"30362693100057";"MONDIAL EVASION";"établissement";"MONDIAL EVASION";"MONDIAL EVASION";"";"15 PL DES TERREAUX";"";"69001 LYON 1ER";"69381";"LYON 1ER";"69001";"RHONE";"69";"AUVERGNE RHONE ALPES";"84";"Société par actions simplifiée (SAS)";"Activités des agences de voyage";"7911Z";"Agence de voyage";"01/1974";"M.";"JAMET";"Eric Jean Marie";"Président";"6 à 9";"1 ou 2";"acheteur";"ambassade";"annulation";"autocar";"billets";"brochure";"brochures";"circuits";"flamenco";"golf";"480000";"NON";"";"";"0478295454";"0478282258";"MONDIAL EVASION";"[00, 35, 36, 39, 41]";"";"";"";"";"";"";"";"";"";"http://www.mondial-evasion.fr/";"";"";"";"mondialevasion3@wanadoo.fr";"19";"";"";"2016229"
"304487093";"30448709300094";"AGENCE DE RECHERCHE PROMOTIONNELLE";"siège";"AGENCE DE RECHERCHE PROMOTIONNELLE";"";"";"88 AV DU GENERAL LECLERC";"";"92100 BOULOGNE-BILLANCOURT";"92012";"BOULOGNE-BILLANCOURT";"92100";"HAUTS-DE-SEINE";"92";"ILE-DE-FRANCE";"11";"Société par actions simplifiée (SAS)";"Activités des voyagistes";"7912Z";"Voyagiste, tour-opérateur";"01/1975";"M.";"POUVREAU";"Christophe";"Président";"20 à 49";"";"cahier";"campagne";"convention";"directeurs";"directrice";"football";"messages";"paquebot";"sportif";"surprise";"150000";"OUI";"6758394";"83.332 %";"";"";"GEYSER";"[00, 16, 35, 36, 37, 38, 39, 41, 42]";"";"";"";"";"";"";"";"";"";"http://www.arep.co.com/";"";"";"";"";"16";"";"";"8110179"
"305932709";"30593270900010";"VOYAGES ILE DE FRANCE";"siège";"VOYAGES ILE DE FRANCE";"EXAMONDE - PARTIR EN CLUB -";"";"54 RUE JEAN JAURES";"";"78190 TRAPPES";"78621";"TRAPPES";"78190";"YVELINES";"78";"ILE-DE-FRANCE";"11";"Société à responsabilité limitée (sans autre indication)";"Activités des agences de voyage";"7911Z";"Agence de voyage";"01/1976";"Mme";"GOUBY";"Marie-thérèse";"Gérant";"0";"0";"agences";"argent";"assurances";"bassin";"billets";"boutons";"cadeaux";"camping";"catastrophe";"chargement";"61000";"NON";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"http://www.selectour-examonde.com/";"http://www.facebook.com/selectour.afat.examonde";"";"";"";"9";"Liquidation judiciaire simplifiée";"06/2020";"1186331"
"305932709";"30593270900044";"VOYAGES ILE DE FRANCE";"établissement";"VOYAGES ILE DE FRANCE";"";"";"6 PL DU SANCERROIS";"";"78310 MAUREPAS";"78383";"MAUREPAS";"78310";"YVELINES";"78";"ILE-DE-FRANCE";"11";"Société à responsabilité limitée (sans autre indication)";"Activités des agences de voyage";"7911Z";"Agence de voyage";"01/1976";"Mme";"GOUBY";"Marie-thérèse";"Gérant";"0";"0";"agences";"argent";"assurances";"bassin";"billets";"boutons";"cadeaux";"camping";"catastrophe";"chargement";"61000";"NON";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"http://www.selectour-examonde.com/";"http://www.facebook.com/selectour.afat.examonde";"";"";"";"9";"Liquidation judiciaire simplifiée";"06/2020";"1186331"
"305932709";"30593270900051";"VOYAGES ILE DE FRANCE";"établissement";"VOYAGES ILE DE FRANCE";"PROVOYAGES";"";"2 ALL DES AULNES";"";"78190 TRAPPES";"78621";"TRAPPES";"78190";"YVELINES";"78";"ILE-DE-FRANCE";"11";"Société à responsabilité limitée (sans autre indication)";"Activités des agences de voyage";"7911Z";"Agence de voyage";"01/1976";"Mme";"GOUBY";"Marie-thérèse";"Gérant";"0";"0";"agences";"argent";"assurances";"bassin";"billets";"boutons";"cadeaux";"camping";"catastrophe";"chargement";"61000";"NON";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"http://www.selectour-examonde.com/";"http://www.facebook.com/selectour.afat.examonde";"";"";"groupe@examonde.com";"9";"Liquidation judiciaire simplifiée";"06/2020";"1186331"
"306016122";"30601612200021";"KIT VOYAGES";"siège";"KIT VOYAGES";"KIT VOYAGES - LOOK VOYAGES";"";"40 RUE PIERRE MAUROY";"";"59800 LILLE";"59350";"LILLE";"59800";"NORD";"59";"HAUTS DE FRANCE";"32";"Société par actions simplifiée (SAS)";"Activités des voyagistes";"7912Z";"Voyagiste, tour-opérateur";"01/1977";"Mme";"HEEM";"Tiphaine";"Président";"6 à 9";"3 à 5";"";"";"";"";"";"";"";"";"";"";"97231";"NON";"";"";"0320303232";"";"kit Voyages";"[00, 39, 43]";"KIT SOLEIL";"[39, 43]";"";"";"";"";"";"";"";"http://www.kitvoyages.com/";"";"";"";"bondues@nap-voyages.com";"19";"";"";"6030827"
"306016122";"30601612200054";"KIT VOYAGES";"établissement";"KIT VOYAGES";"KIT VOYAGES";"";"56 RUE FAIDHERBE";"";"62200 BOULOGNE-SUR-MER";"62160";"BOULOGNE-SUR-MER";"62200";"PAS-DE-CALAIS";"62";"HAUTS DE FRANCE";"32";"Société par actions simplifiée (SAS)";"Activités des agences de voyage";"7911Z";"Agence de voyage";"01/1977";"Mme";"HEEM";"Tiphaine";"Président";"6 à 9";"1 ou 2";"";"";"";"";"";"";"";"";"";"";"97231";"NON";"";"";"";"";"kit Voyages";"[00, 39, 43]";"KIT SOLEIL";"[39, 43]";"";"";"";"";"";"";"";"http://www.kitvoyages.com/";"";"";"";"contact@kitvoyages.com";"19";"";"";"6030827"
"306016122";"30601612200062";"KIT VOYAGES";"établissement";"KIT VOYAGES";"KIT VOYAGES";"";"4 RUE DU BOSQUIEL";"";"59910 BONDUES";"59090";"BONDUES";"59910";"NORD";"59";"HAUTS DE FRANCE";"32";"Société par actions simplifiée (SAS)";"Activités des voyagistes";"7912Z";"Voyagiste, tour-opérateur";"01/1977";"Mme";"HEEM";"Tiphaine";"Président";"6 à 9";"1 ou 2";"";"";"";"";"";"";"";"";"";"";"97231";"NON";"";"";"0320685675";"";"kit Voyages";"[00, 39, 43]";"KIT SOLEIL";"[39, 43]";"";"";"";"";"";"";"";"http://www.kitvoyages.com/";"";"";"";"contact@kitvoyages.com";"19";"";"";"6030827"
