"Siren";"Siret";"Raison sociale";"Nature établissement";"Adresse normée ligne 1";"Adresse normée ligne 2";"Adresse normée ligne 3";"Adresse normée ligne 4";"Adresse normée ligne 5";"Adresse normée ligne 6";"Code commune";"Ville";"Code postal";"Département";"Code département";"Région";"Code région";"Forme juridique";"Libellé activité";"Code activité";"Métier";"Date de création";"Civilité dirigeant principal";"Nom dirigeant principal";"Prénom dirigeant principal";"Fonction dirigeant principal";"Tranche Effectif INSEE";"Tranche Effectif établissement";"Mot-clé 1";"Mot-clé 2";"Mot-clé 3";"Mot-clé 4";"Mot-clé 5";"Mot-clé 6";"Mot-clé 7";"Mot-clé 8";"Mot-clé 9";"Mot-clé 10";"Capital social";"Entreprise exportatrice";"CA réalisé à l'export";"Part du CA réalisé à l'export";"Téléphone";"Fax";"Nom de marque 1";"Classes de marque 1";"Nom de marque 2";"Classes de marque 2";"Nom de marque 3";"Classes de marque 3";"Nom de marque 4";"Classes de marque 4";"Nom de marque 5";"Classes de marque 5";"E-Commerce";"Site Web";"Facebook";"Twitter";"LinkedIn";"Email";"Score";"Type de procédure";"Date d'entrée en procédure";"Chiffre d'affaires"
"337970487";"33797048700043";"AC NIELSEN";"établissement";"AC NIELSEN";"NIELSEN";"";"23 QUAI DE PALUDATE";"";"33800 BORDEAUX";"33063";"BORDEAUX";"33800";"GIRONDE";"33";"NOUVELLE AQUITAINE";"75";"Société par actions simplifiée (SAS)";"études de marché et sondages";"7320Z";"Instituts de sondage, études, enquêtes";"05/1986";"M.";"SEGALIE";"Xavier";"Président";"200 à 249";"Unités non employeuses";"distribution";"baser";"panorama";"fax";"pano";"guider";"fichier";"consultation";"lexique";"";"5255878";"OUI";"22846870";"58.674 %";"";"";"e-CENSiel";"[35, 38, 42]";"SCAN 7000";"[00, 09, 35, 38]";"NIELSEN QUARTZ";"[35]";"SCAN 5000";"[00, 09, 35, 38]";"SCANPRIX";"[35]";"Oui";"panorama-tradedimensions.com";"";"https://twitter.com/NielsenFrance";"";"";"20";"";"";"38938580"
"337970487";"33797048700068";"AC NIELSEN";"siège";"AC NIELSEN";"NIELSEN";"SCENEO";"1 RUE JULIUS ET ETHEL ROSENBERG";"";"95870 BEZONS";"95063";"BEZONS";"95870";"VAL-D'OISE";"95";"ILE-DE-FRANCE";"11";"Société par actions simplifiée (SAS)";"études de marché et sondages";"7320Z";"Instituts de sondage, études, enquêtes";"05/1986";"M.";"SEGALIE";"Xavier";"Président";"200 à 249";"200 à 249";"distribution";"baser";"panorama";"fax";"pano";"guider";"fichier";"consultation";"lexique";"";"5255878";"OUI";"22846870";"58.674 %";"";"";"e-CENSiel";"[35, 38, 42]";"SCAN 7000";"[00, 09, 35, 38]";"NIELSEN QUARTZ";"[35]";"SCAN 5000";"[00, 09, 35, 38]";"SCANPRIX";"[35]";"Oui";"panorama-tradedimensions.com";"";"https://twitter.com/NielsenFrance";"";"";"20";"";"";"38938580"
"338950371";"33895037100041";"INSTITUT EPARGNE IMMOBILIERE ET FONCIERE";"siège";"INSTITUT EPARGNE IMMOBILIERE ET FONCIERE";"";"";"13 AV DE L OPERA";"";"75001 PARIS 1";"75101";"PARIS 1";"75001";"PARIS";"75";"ILE-DE-FRANCE";"11";"Association déclarée";"études de marché et sondages";"7320Z";"Instituts de sondage, études, enquêtes";"07/1986";"";"";"";"";"10 à 19";"";"immobilier";"institut";"capitalisation";"coter";"bimensuel";"annuaire";"pole";"ajouter";"panier";"euro";"";"NON";"";"";"";"";"IEIF";"[00, 16, 35, 36, 38, 39, 41, 42]";"";"";"";"";"";"";"";"";"Oui";"ieif.fr";"";"https://twitter.com/IEIFinfo";"https://www.linkedin.com/company/1854142/";"";"9";"";"";""
"350328530";"35032853000026";"TAKAYAKA";"siège";"TAKAYAKA";"";"";"105 RUE DES MOINES";"";"75017 PARIS 17";"75117";"PARIS 17";"75017";"PARIS";"75";"ILE-DE-FRANCE";"11";"Société à responsabilité limitée (sans autre indication)";"études de marché et sondages";"7320Z";"Instituts de sondage, études, enquêtes";"04/1989";"Mme";"FIESCHI";"MONIQUE";"Gérant";"Unités non employeuses";"";"parfum";"boutique";"bougie";"note";"vaporisateur";"diffuseur";"euro";"basque";"oursin";"bot";"5000";"NON";"";"";"0556824655";"";"BASILIC ET PISTOU";"[03]";"";"";"";"";"";"";"";"";"Oui";"takayaka-boutique.fr";"https://www.facebook.com/Monique.Myline/";"https://twitter.com/TakayakaFrance";"";"";"13";"";"";""
"350328530";"35032853000034";"TAKAYAKA";"établissement";"TAKAYAKA";"";"DOMAINE DE PEYROULET";"70 AV JEAN MONNET";"";"33700 MERIGNAC";"33281";"MERIGNAC";"33700";"GIRONDE";"33";"NOUVELLE AQUITAINE";"75";"Société à responsabilité limitée (sans autre indication)";"études de marché et sondages";"7320Z";"Instituts de sondage, études, enquêtes";"04/1989";"Mme";"FIESCHI";"MONIQUE";"Gérant";"Unités non employeuses";"";"parfum";"boutique";"bougie";"note";"vaporisateur";"diffuseur";"euro";"basque";"oursin";"bot";"5000";"NON";"";"";"0556824655";"";"BASILIC ET PISTOU";"[03]";"";"";"";"";"";"";"";"";"Oui";"takayaka-boutique.fr";"https://www.facebook.com/Monique.Myline/";"https://twitter.com/TakayakaFrance";"";"takayaka@wanadoo.fr";"13";"";"";""
"350328530";"35032853000042";"TAKAYAKA";"établissement";"TAKAYAKA";"";"";"41 AV DE LA GARE";"";"33740 ARES";"33011";"ARES";"33740";"GIRONDE";"33";"NOUVELLE AQUITAINE";"75";"Société à responsabilité limitée (sans autre indication)";"études de marché et sondages";"7320Z";"Instituts de sondage, études, enquêtes";"04/1989";"Mme";"FIESCHI";"MONIQUE";"Gérant";"Unités non employeuses";"Unités non employeuses";"parfum";"boutique";"bougie";"note";"vaporisateur";"diffuseur";"euro";"basque";"oursin";"bot";"5000";"NON";"";"";"0556824655";"";"BASILIC ET PISTOU";"[03]";"";"";"";"";"";"";"";"";"Oui";"takayaka-boutique.fr";"https://www.facebook.com/Monique.Myline/";"https://twitter.com/TakayakaFrance";"";"";"13";"";"";""
"451852800";"45185280000049";"LITTLE BISCOTTO";"siège";"LITTLE BISCOTTO";"LITTLE BISCOTTO";"";"5253 RUE DE LA GRAVIERE";"";"39140 ARLAY";"39017";"ARLAY";"39140";"JURA";"39";"BOURGOGNE FRANCHE COMTE";"27";"Société à responsabilité limitée (sans autre indication)";"études de marché et sondages";"7320Z";"Instituts de sondage, études, enquêtes";"02/2004";"M.";"EVRARD";"Philippe Christophe";"Gérant";"Unités non employeuses";"";"anneaux";"annuaire";"cadeau";"chalet";"cheval";"classiques";"dents";"jouet";"lots";"perles";"12000";"NON";"";"";"0384860254";"";"Figurative";"[09, 16, 28]";"Figurative";"[00, 09, 16, 28, 35, 42]";"VOGALONGA";"[00, 09, 16, 28]";"";"";"";"";"Oui";"http://www.littlebiscotto.com/";"http://www.facebook.com/LittleBiscotto";"";"";"";"1";"Clôture pour insuffisance d'actif";"01/2018";"27612"
"519336374";"51933637400037";"KROOGA";"siège";"KROOGA";"";"";"38 AV DU MARECHAL DE SAXE";"";"69006 LYON 6EME";"69386";"LYON 6EME";"69006";"RHONE";"69";"AUVERGNE RHONE ALPES";"84";"Société par actions simplifiée (SAS)";"études de marché et sondages";"7320Z";"Instituts de sondage, études, enquêtes";"12/2009";"M.";"ROCHETEAU";"Guillaume";"Président";"10 à 19";"10 à 19";"lacrymogène";"défendre";"sécurité";"gel";"poivrer";"spray";"quotidien";"air";"plein";"boutique";"6234";"OUI";"1151";"0.112 %";"0175438285";"";"";"";"";"";"";"";"";"";"";"";"Oui";"outstore.fr";"https://www.facebook.com/pages/Godefense/529330840507101";"https://twitter.com/shopify";"";"";"6";"";"";"1031455"
"522752518";"52275251800012";"MOBILE FUN";"siège";"MOBILE FUN";"";"UNIT 16";"NETWORK PARK DUDDESTON MILL RD";"";"B8 1AU BIRMINGHAM";"";"B8 1AU BIRMINGHAM";"";"";"";"ETRANGER";"99";"Société étrangère immatriculée au RCS";"études de marché et sondages";"7320Z";"Instituts de sondage, études, enquêtes";"05/2010";"";"";"";"";"0";"";"achats";"appareils";"batteries";"bracelets";"cartes";"chargement";"docks";"fils";"gadgets";"mains";"5000";"NON";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Oui";"http://www.mobilefun.fr/";"";"";"";"";"";"";"";""
"522752518";"52275251800020";"MOBILE FUN";"établissement";"MOBILE FUN";"";"";"2 RUE LUIGI GALVANI";"";"92160 ANTONY";"92002";"ANTONY";"92160";"HAUTS-DE-SEINE";"92";"ILE-DE-FRANCE";"11";"Société étrangère immatriculée au RCS";"études de marché et sondages";"7320Z";"Instituts de sondage, études, enquêtes";"05/2010";"";"";"";"";"0";"0";"achats";"appareils";"batteries";"bracelets";"cartes";"chargement";"docks";"fils";"gadgets";"mains";"5000";"NON";"";"";"0698498096";"";"";"";"";"";"";"";"";"";"";"";"Oui";"http://www.mobilefun.fr/";"";"";"";"";"";"";"";""
